Property ID,Property Name,Location,Type,Price,Date Listed,Date Sold,Sale Price,Sq Ft,Bedrooms,Bathrooms,Building Type,Year Built,Floor Level,Parking Spaces,Agent Name,Agent Contact Info,Property Status,Property Features
1001,Property 1001,Houston,House,585544,09-04-2024,06-07-2024,600120,4849,3,5,Detached,2020,,3,Jane Smith,555-3573,Sold,Sauna|Elevator|Garden|Garage
1002,Property 1002,Austin,Apartment,903593,02-01-2024,,,4217,5,5,Ranch,2018,9,1,Laura Taylor,555-8240,Available,Sauna|Elevator|Garden|Gym
1003,Property 1003,Dallas,House,974633,27-01-2024,02-05-2024,1020596,2490,6,5,Office Building,2005,4,4,Kevin Martinez,555-7674,Sold,Garden
1004,Property 1004,Austin,Commercial,566049,15-06-2024,,,4840,3,2,Office Building,2008,6,2,Sarah Johnson,555-7018,Available,Elevator|Barn
1005,Property 1005,San Antonio,Apartment,672813,22-02-2024,27-06-2024,706100,3535,6,5,Office Building,2015,8,3,Sarah Johnson,555-3385,Sold,Pool|Elevator|Gym|Sauna
1006,Property 1006,Fort Worth,House,713565,31-01-2024,17-05-2024,734345,3542,4,3,Office Building,2007,6,2,Laura Taylor,555-9230,Sold,Barn|Garden|Gym|Fireplace
1007,Property 1007,Fort Worth,Commercial,942067,31-08-2024,,,2473,4,2,Detached,2012,,2,Laura Taylor,555-8619,Available,Gym|Elevator
1008,Property 1008,San Antonio,House,354160,17-02-2024,28-02-2024,375985,1630,6,5,Office Building,2001,8,2,Robert Black,555-9358,Sold,Garden|Garage|Gym|Sauna
1009,Property 1009,Houston,Commercial,653564,22-08-2024,09-12-2024,685539,3063,2,2,Condo,2005,5,2,Sarah Johnson,555-7214,Sold,Garden|Barn|Pool|Sauna
1010,Property 1010,San Antonio,Apartment,556165,05-01-2024,,,4833,2,3,Ranch,2008,9,4,Robert Black,555-7305,Available,Garage|Elevator|Garden
1011,Property 1011,Fort Worth,Commercial,817687,16-11-2024,06-05-2024,850511,1568,6,5,Condo,2017,4,3,Sarah Johnson,555-3196,Sold,Elevator
1012,Property 1012,San Antonio,Apartment,516233,01-11-2024,,,2845,4,3,Condo,2017,8,2,Jane Smith,555-6593,Available,Sauna|Garden|Barn
1013,Property 1013,Austin,Commercial,371492,22-02-2024,,,1803,2,3,Office Building,2007,9,4,Michael Green,555-7158,Available,Gym
1014,Property 1014,Dallas,Apartment,358298,27-03-2024,,,1680,3,3,Detached,2000,,1,Michael Green,555-9108,Available,Sauna|Garage|Barn|Pool
1015,Property 1015,Fort Worth,House,712723,28-10-2024,07-02-2024,742060,2252,6,5,Ranch,2001,3,2,Sarah Johnson,555-7635,Sold,Elevator
1016,Property 1016,Houston,Commercial,564591,09-01-2024,,,2797,3,2,Detached,2015,,4,Robert Black,555-1294,Available,Garden
1017,Property 1017,San Antonio,House,313147,09-07-2024,10-04-2024,338801,2615,4,5,Detached,2020,,3,Emily Brown,555-7889,Sold,Garage|Sauna
1018,Property 1018,Dallas,House,747303,06-06-2024,,,3449,6,2,Condo,2005,6,3,Sarah Johnson,555-2411,Available,Pool
1019,Property 1019,San Antonio,House,544031,22-11-2024,,,2678,2,2,Detached,2001,,1,Alice White,555-2747,Available,Garden
1020,Property 1020,San Antonio,House,526245,22-06-2024,29-05-2024,539489,1177,5,2,Condo,2001,5,1,Kevin Martinez,555-6781,Sold,Garage|Pool|Garden
1021,Property 1021,Fort Worth,Apartment,637007,10-03-2024,,,1854,3,4,Ranch,2006,5,2,Emily Brown,555-7037,Available,Barn|Gym|Sauna
1022,Property 1022,Austin,House,776161,29-08-2024,,,2353,3,5,Detached,2002,,4,Alice White,555-6013,Available,Elevator
1023,Property 1023,Houston,House,766360,13-04-2024,17-07-2024,779806,4461,2,4,Office Building,2014,10,4,Alice White,555-9482,Sold,Pool
1024,Property 1024,Dallas,House,335304,23-09-2024,25-04-2024,371045,1004,4,2,Office Building,2020,7,1,Sarah Johnson,555-2205,Sold,Barn|Fireplace
1025,Property 1025,Dallas,Commercial,871320,12-06-2024,,,3778,4,4,Ranch,2005,5,1,Michael Green,555-7126,Available,Sauna|Garage
1026,Property 1026,Fort Worth,Apartment,704935,15-04-2024,19-08-2024,726924,3785,4,4,Ranch,2014,8,3,Jane Smith,555-3580,Sold,Garage|Fireplace|Sauna|Garden
1027,Property 1027,Austin,Commercial,301691,24-03-2024,01-02-2024,342911,2015,3,5,Office Building,2011,3,4,Robert Black,555-1656,Sold,Fireplace|Pool
1028,Property 1028,Austin,Commercial,924767,19-03-2024,,,4224,4,3,Office Building,2009,2,2,Kevin Martinez,555-5664,Available,Garden|Barn|Gym|Fireplace
1029,Property 1029,Fort Worth,Apartment,577544,13-08-2024,13-06-2024,622669,3059,2,5,Ranch,2020,9,2,Laura Taylor,555-6489,Sold,Pool|Fireplace
1030,Property 1030,Houston,Apartment,404952,01-05-2024,29-04-2024,448454,1437,4,2,Ranch,2016,7,1,Robert Black,555-7329,Sold,Gym|Garage|Elevator
1031,Property 1031,Houston,House,896764,25-11-2024,05-01-2024,938209,3477,4,3,Ranch,2023,10,1,Sarah Johnson,555-1302,Sold,Barn
1032,Property 1032,Dallas,Apartment,629419,16-07-2024,,,1272,3,3,Detached,2009,,1,Emily Brown,555-6018,Available,Garden
1033,Property 1033,Fort Worth,Apartment,724241,09-08-2024,03-09-2024,744744,3739,3,5,Ranch,2015,1,1,David Lee,555-1080,Sold,Garden|Gym|Barn|Fireplace
1034,Property 1034,Houston,Commercial,574249,24-06-2024,,,1993,5,2,Detached,2006,,1,Kevin Martinez,555-7689,Available,Fireplace
1035,Property 1035,Dallas,House,552866,28-01-2024,05-12-2024,575230,1232,2,3,Office Building,2004,6,3,Kevin Martinez,555-9330,Sold,Barn
1036,Property 1036,San Antonio,Apartment,680850,07-05-2024,22-03-2024,702288,4002,3,3,Office Building,2015,6,3,David Lee,555-4114,Sold,Sauna|Gym|Barn|Fireplace
1037,Property 1037,Houston,Apartment,825586,30-07-2024,21-05-2024,874890,1205,6,5,Detached,2001,,3,Emily Brown,555-9836,Sold,Barn|Sauna|Gym
1038,Property 1038,San Antonio,Commercial,305473,21-07-2024,,,2096,4,4,Condo,2003,9,3,Alice White,555-5542,Available,Garden
1039,Property 1039,Houston,House,790220,16-05-2024,12-01-2024,836718,3268,2,4,Office Building,2017,7,3,Alice White,555-4759,Sold,Barn
1040,Property 1040,Austin,House,458395,27-03-2024,,,2406,5,4,Office Building,2018,7,4,Sarah Johnson,555-9405,Available,Sauna|Fireplace
1041,Property 1041,San Antonio,Commercial,602623,09-04-2024,,,2464,6,3,Ranch,2000,4,2,Emily Brown,555-3061,Available,Pool|Fireplace|Elevator|Gym
1042,Property 1042,San Antonio,Commercial,808632,05-05-2024,,,1275,3,2,Condo,2012,2,2,Alice White,555-2235,Available,Garden|Gym
1043,Property 1043,Dallas,Commercial,946776,11-09-2024,,,3867,2,2,Condo,2002,2,4,Robert Black,555-3041,Available,Elevator
1044,Property 1044,San Antonio,Apartment,498847,27-02-2024,02-04-2024,517283,2397,5,5,Ranch,2005,9,4,John Doe,555-5353,Sold,Sauna|Fireplace|Elevator
1045,Property 1045,Austin,Apartment,927649,22-01-2024,09-01-2024,945604,4308,4,4,Office Building,2018,5,4,Kevin Martinez,555-5353,Sold,Pool|Garage|Gym
1046,Property 1046,Houston,Commercial,459259,04-12-2024,03-05-2024,472073,4960,5,3,Detached,2017,,1,Sarah Johnson,555-8480,Sold,Garden|Garage|Gym
1047,Property 1047,Dallas,Commercial,823416,01-01-2024,27-08-2024,872436,1015,4,3,Detached,2008,,2,David Lee,555-5715,Sold,Elevator|Garage
1048,Property 1048,Austin,Commercial,757601,06-01-2024,,,1948,3,4,Condo,2008,5,3,Jane Smith,555-4194,Available,Fireplace
1049,Property 1049,Houston,Apartment,552138,01-04-2024,,,1155,3,3,Ranch,2008,9,1,Jane Smith,555-3538,Available,Fireplace|Sauna|Garage|Pool
